host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,accommodates,bathrooms,bedrooms,beds,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating
< 1 hour ,100.0,0,5.0,5.0,4,1,3,1.0,1.0,2.0,23,100,3,17,2,30,61,0,0,strict,0,0,5,0.63,95.0
< 1 hour ,100.0,0,5.0,5.0,4,1,9,3.0,4.0,6.0,31,250,9,50,2,30,70,1,0,strict,0,0,5,0.74,96.0
< 1 hour ,100.0,0,2.0,2.0,9,1,7,1.0,2.0,4.0,24,125,3,15,30,1125,147,1,1,strict,1,1,2,1.55,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,4,1.0,1.0,2.0,17,139,2,0,5,35,28,0,0,strict,0,0,1,0.49,92.0
< 1 hour ,100.0,1,1.0,1.0,3,1,2,1.0,1.0,1.0,22,69,1,0,2,14,147,0,0,strict,0,0,1,1.65,95.0
days,0.0,0,1.0,1.0,4,1,5,1.5,3.0,3.0,24,200,5,50,30,62,19,0,0,strict,0,0,1,0.23,98.0
hours,91.0,0,2.0,2.0,5,1,1,0.5,1.0,1.0,13,59,1,0,3,25,274,0,0,strict,1,0,2,2.88,92.0
< 1 hour ,100.0,0,6.0,6.0,8,1,3,1.0,1.0,2.0,31,125,2,18,2,365,11,0,0,strict,0,0,4,0.14,92.0
1 day,100.0,0,3.0,3.0,4,1,2,1.0,1.0,1.0,26,200,2,100,5,14,16,0,0,strict,0,0,1,0.17,98.0
< 1 hour ,100.0,0,1.0,1.0,4,1,1,1.0,1.0,1.0,8,140,1,0,7,14,12,0,0,strict,0,0,1,0.15,97.0
< 1 hour ,100.0,1,1.0,1.0,5,1,4,1.0,1.0,1.0,37,135,2,25,2,365,409,1,1,strict,0,0,1,4.34,98.0
1 day,100.0,0,2.0,2.0,10,1,2,1.0,1.0,1.0,11,90,1,30,4,365,5,0,0,moderate,0,0,2,0.06,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,17,199,1,0,5,45,38,0,0,strict,1,1,1,0.46,98.0
< 1 hour ,100.0,0,1.0,1.0,4,1,6,1.5,3.0,4.0,11,295,6,50,3,33,266,1,0,flexible,0,0,1,2.92,96.0
< 1 hour ,100.0,0,1.0,1.0,5,1,4,1.5,2.0,2.0,34,235,3,40,6,30,19,0,0,strict,0,0,1,0.23,92.0
< 1 hour ,100.0,0,1.0,1.0,10,1,4,1.0,1.0,3.0,11,125,2,25,1,730,354,1,0,strict,0,0,1,3.96,88.0
hours,100.0,0,4.0,4.0,4,1,4,1.0,1.0,3.0,33,225,2,30,1,15,84,0,1,strict,0,0,3,0.9,94.0
< 1 hour ,100.0,1,2.0,2.0,6,1,4,2.0,1.0,2.0,38,99,1,25,2,21,310,0,0,strict,1,1,2,3.29,98.0
< 1 hour ,100.0,0,1.0,1.0,5,1,6,1.0,1.0,5.0,18,170,4,30,2,20,144,0,0,strict,0,0,1,1.81,95.0
< 1 hour ,100.0,0,2.0,2.0,5,1,9,2.5,4.0,6.0,16,400,1,0,2,30,10,0,0,strict,0,0,2,0.2,96.0
hours,100.0,0,1.0,1.0,4,1,2,1.0,1.0,2.0,14,170,1,0,7,30,11,1,0,strict,0,0,1,0.12,90.0
< 1 hour ,100.0,0,1.0,1.0,6,1,3,1.0,1.1637304856895057,2.0,11,100,2,35,4,365,25,0,0,strict,0,0,1,0.27,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,7,1,3,1.0,1.0,2.0,13,149,2,35,5,50,36,0,0,strict,1,1,1,0.45,98.0
1 day,50.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,26,75,1,10,2,1095,3,0,0,strict,0,0,1,0.03,80.0
< 1 hour ,100.0,0,1.0,1.0,3,1,3,1.0,1.0,1.0,20,125,1,50,2,365,14,1,0,flexible,0,0,1,0.15,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,17,90,1,15,1,365,9,0,0,flexible,0,0,1,0.1,91.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,4,1.0,1.0,2.0,17,150,1,0,5,30,21,0,0,moderate,0,0,1,0.22,99.0
< 1 hour ,90.0,0,3.0,3.0,5,1,1,1.0,1.0,1.0,28,85,1,30,3,120,36,0,0,flexible,0,0,3,0.39,94.0
1 day,100.0,0,2.0,2.0,3,1,2,1.133758653454595,1.0,1.0,9,60,1,10,3,730,53,0,0,strict,0,0,2,0.57,95.0
< 1 hour ,100.0,1,1.0,1.0,4,1,1,1.0,0.0,1.0,16,185,2,0,4,365,99,0,0,strict,0,1,1,1.06,93.0
< 1 hour ,93.0,0,3.0,3.0,3,1,3,1.0,1.0,3.0,24,125,2,25,2,28,116,1,1,strict,0,0,3,1.25,92.0
1 day,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,13,96,1,0,5,365,22,0,0,strict,1,1,1,0.24,95.0
< 1 hour ,100.0,1,1.0,1.0,9,1,2,1.0,1.0,1.0,26,89,1,0,3,90,213,1,0,moderate,0,0,1,2.26,98.0
< 1 hour ,100.0,1,1.0,1.0,10,1,2,2.0,1.0,1.0,20,50,1,25,3,30,152,1,0,strict,0,0,1,1.74,98.0
hours,100.0,0,2.0,2.0,5,1,2,1.0,1.0,1.0,15,105,1,10,4,30,157,1,0,strict,0,0,1,1.67,95.0
1 day,100.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,22,119,1,10,2,30,88,0,0,moderate,0,0,1,0.94,97.0
1 day,67.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,23,105,2,30,3,29,30,0,0,strict,0,0,1,0.33,88.0
< 1 hour ,100.0,0,1.0,1.0,3,1,2,0.5,1.0,1.0,15,80,1,0,2,21,186,0,0,strict,0,0,1,1.97,86.0
< 1 hour ,100.0,0,2.0,2.0,5,1,2,1.0,1.0,1.0,16,230,1,0,2,60,27,0,0,strict,0,0,2,0.29,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,19,155,1,0,5,14,86,0,0,moderate,1,1,1,0.94,95.0
